Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Project ID,Project Name,Project Description,Start Date,Completion Date (B1),Planned Project Completion Date (B2),Projected/Actual Project Completion Date (B2),Lifecycle Cost,Schedule Variance (in days),Schedule Variance (%),Cost Variance ($ M),Cost Variance (%),Planned Cost ($ M),Projected/Actual Cost ($ M),Updated Date,Updated Time,Unique Project ID
009-000005318,299,9,Department of Health and Human Services,FDA ORA Automated Laboratory Management,2169,FDA ORA ALM Laboratory Information Management System (LIMS) Program Management Technical Coordination (PMTC),"This project provides program level activities to support work across all of LIMS. LIMS is divided into a set of activities that may be concurrent or sequential and that require a high degree of coordination to ensure the optimum design and ultimate implementation across all 16 FDA ORA labs. ORA has 14 static laboratory locations in buildings and two mobile laboratory units that can be driven to a particular location. PMTC is essential to the management of the LIMS program that will include an comprehensive assessment phase of the current status of the lab systems' environment, IT interface needs, the creation of at least two Test Labs, determining the design of optimum IT systems, and the implementation in each of the 16 FDA/ORA labs. PMTC also includes handling IT security considerations and configuration management across LIMS.",12/09/2011,11/09/2012,,,0.55,0,0,-0.126,-22.91,0.55,0.676,24/02/2012,09:16:57,287491
009-000005318,299,9,Department of Health and Human Services,FDA ORA Automated Laboratory Management,2170,FDA ORA ALM Laboratory Information Management System (LIMS) Laboratory Assessment and Pilots,"This includes a Lab Assessment and the necessary activities to assess, plan for, and design the implementations for a LIMS for all 16 ORA laboratories including the coordination of activities with OIM and ORA. This also includes pilots of LIMS in four of the ORA laboratories at the Northeast Regional Laboratory (NRL), the Denver, Colorado (DEN) laboratory, the Pacific Regional Laboratory (PRL), and the Southeast Regional Laboratory.The Lab Assessment includes reviews and analyses to produce a workable design for the ORA laboratories. This includes functionalities across and within all ORA labs; workflow processing analysis; review of requirements for the pilots; data center versus local hosting; validation of network design; security requirements; business process models (To-Be state), gap analysis; a preliminary LIMS design; expected baseline performances and recommended levels of capacity; and analysis of future LIMS-MARCS-RBIS Integration.Lab Assessment outcomes include: Recommendations regarding network and firewall configurations; server architecture to support data, application, and web tiers; meeting security requirements, management approaches; and other outputs such as refined LIMS requirements, management plan; business process models; work flow process documentation; and, a preliminary design for LIMS.  Lab Pilots 1-4: Provide a LIMS solution at each laboratory. This is focused on microbiology and will build on the Lab Assessment results. These pilots will allow ORA to prove out the recommendations adopted from the Lab Assessment and lay the groundwork for the expansion of LIMS to all of the 16 ORA labs. The LIMS solution will require configuration to accommodate possible different business processes and lab instruments particular to individual FDA laboratories and will require integration with other FDA systems.Activities in the Pilots include:Review proposed Pilot design; develop Pilot(s) to help prove technical concepts; Integrate the LIMS with commercial off-the-shelf (COTS) products with FDA enterprise systems to form a LIMS solution.Initiating LIMS configuration;Utilizing custom development;Conducting system testing (functional testing, unit testing, system testing, integration testing, and user-acceptance testing);Procuring software licensesProviding LIMS Pilots with integration to lab instruments;Deploying planning for the Pilots; Developing Pilot Documentation; and,Implementing the Pilots.",12/09/2011,11/09/2012,,,6.728,0,0,-0.302,-4.49,6.728,7.03,24/02/2012,09:16:58,287492
009-000005318,299,9,Department of Health and Human Services,FDA ORA Automated Laboratory Management,2171,FDA ORA ALM Electronic Laboratory Exchange Network (eLEXNET) Support 1,"ALM eLEXNET support activities to improve performance and functionality with multiple DME initiatives including: eLEXNET home page redesign; GIS Capability; Adding Map-based reports to eLEXNET; New Reporting Interface, access acceleration, design of format; Community tool Upgrades - social media networking; Outreach - PR internal and external; Data Quality Automation; FERN Improvements; Oracle 11g upgrade; Mobile apps with Common Login implementation; Developing Methods Module; Lab expansion; Security; Program Management, O&M.",22/07/2010,11/01/2012,11/01/2012,31/12/2011,1.644,11,2.04,0.126,7.66,1.644,1.518,24/02/2012,09:16:58,287496
009-000005318,299,9,Department of Health and Human Services,FDA ORA Automated Laboratory Management,2172,FDA ORA ALM Electronic Laboratory Exchange Network (eLEXNET) Support 2,"This project includes ALM Electronic Laboratory Exchange Network (eLEXNET) activities to improve performance and functionality with in multiple areas. The eLEXNET home page will be redesigned. Geographical Information System (GIS) capability will be enhanced. With the enhanced GIS capability, map-based reports will be added to eLEXNET. Outreach to laboratories that could potentially participate in the Food Emergency Response Network (FERN) will continue, including expanding data exchange with new participating laboratories. As part of the communications with FERN participants, social media and community tool capabilities will be introduced. The technology stack will be upgraded to Oracle 11g. This will put eLEXNET on the same technology stack as Mission Accomplishments and Regulatory Compliance Services (MARCS). This will enable enhanced integration between eLEXNET and MARCS and set up ORA to work better with external partners such as FERN and Department of Homeland Security (DHS). A pilot for supporting mobile applications in FERN participating labs will also be conducted. Mobile applications could potentially in the future support a range of hardware that is not FDA specified as these are external partners. Methods module development will also continue, including the ability to leverage this for ALM Laboratory Information Management System (LIMS).",22/07/2011,21/07/2012,,,2.876,-41,-11.23,-0.818,-28.44,2.876,3.694,24/02/2012,09:16:58,287506
009-000005318,299,9,Department of Health and Human Services,FDA ORA Automated Laboratory Management,2173,FDA ORA ALM Quality Management Information System (QMiS) Support 1,"Quality Management information System (QMiS) is a deploying quality management system (QMS) that supports FDA's field investigations enforcement, and scientific laboratory analysis of field samples. QMiS provides robust information technology (IT) support for the accomplishment of ORA's quality management plan in all operational units - in the regional offices, district offices, laboratories, and headquarters. The QMiS encompasses hardware, software, integration assistance, knowledge transfer including training, ongoing support and documentation.",01/07/2009,26/08/2011,26/08/2011,26/08/2011,0.786,-371,-108.16,0.038,4.83,0.786,0.748,24/02/2012,09:16:58,287509
009-000005318,299,9,Department of Health and Human Services,FDA ORA Automated Laboratory Management,2174,FDA ORA ALM Quality Management Information System (QMiS) Support 2,"This project includes work on Quality Management information System (QMiS) to expand the number of quality processes handled in QMiS, interfacing with other ORA systems, acquisition of additional software licenses to increase stakeholder access, training, and system configuration. Expanded quality processes include Management Review, Control of Non-conformance, and Preventive Action. QMiS will integrate with Regulatory Business Information Services (RBIS) in order to support retaining historical information and providing analysis and reporting capabilities. QMiS will also begin integration with MARCS services in order to integrate seamlessly within ORA work flows. Training will be provided to end users as additional quality processes and other enhancements are rolled out to ORA.",19/09/2011,14/09/2012,,,0.509,0,0,-0.044,-8.66,0.508,0.552,24/02/2012,09:16:58,287514
009-000005354,301,9,Department of Health and Human Services,FDA OC-OIM Information and Computing Technologies for the 21st Century (ICT21),2176,American Recovery and Reinvestment Act Patient Centered Outcomes Research (ARRA PCOR),"FDA houses the largest known repository of clinical study data, including unique high quality data on the safety, effectiveness and performance of drugs, biologics and devices, both pre- and post approval. These data are not collected or stored in standardized format and, for this reason, cannot be evaluated across multiple studies, products or populations except with great difficulty. The goal of this project is to develop and use the standards, infrastructure (including repository and scientific capacity), tools and policies needed for FDA to receive, process and analyze study data, including analyses for comparative effectiveness research.  The infrastructure and approaches developed will enable more efficient and effective review of regulated products data and the conduct of complex regulatory research, including PCOR using the agency's vast, but untapped, stores of patient safety and clinical efficacy data.  New scientific approaches and expertise, data standards, infrastructure, tools and capabilities will be essential to manage the increasingly complex and voluminous information submitted to the FDA in support of regulatory actions, as well as in Patient-Centered Outcome Research, PCOR (formerly known as Comparative Effectiveness Research, CER) analyses (i.e. across products, studies and populations) in non-FDA data.  Thus, as part of this project, FDA is developing the appropriate infrastructure, tools and capabilities, as well as creating a Partnership in Applied Comparative Effectiveness Science for Medical Products (PACES) to support development and evaluation of comparative effectiveness approaches, and best practices and guidelines for conducting cross study comparisons. The work intends to inform medical practice with respect to benefits and best use strategies for existing therapies in particular patient populations to address which treatment works best, for whom, and under what circumstances. Additionally, development of innovative study design methods will enable more comprehensive comparisons of new therapies with those already in use, allowing both existing and novel therapies to be targeted to maximize benefit and minimize risk.  Collaborations with academic or other non-governmental groups, including developmental research, support of public workshops and training programs will be developed and integrated to achieve these goals.",21/09/2009,31/12/2013,,,12.478,0,0,0,0,11.939,11.939,23/07/2012,09:41:08,283467
009-000005354,301,9,Department of Health and Human Services,FDA OC-OIM Information and Computing Technologies for the 21st Century (ICT21),2177,Janus Clinical Trials Repository (CTR),"At its full capacity, Janus, the repository of structured standardized study data, will be a comprehensive clinical trial and population health data warehouse environment that will allow the routine conduct of cross-study analysis, including patient centered outcomes research, while reducing the time needed for reviewers and researchers to locate, access and perform data clean up activities to be able to use the data. Janus will provide access to and analysis of 21st century data sources (e.g., large quantity digital data that come from new imaging and omics technologies), and collation of that data with other sources of information on medical product effectiveness, safety, and quality.  Janus will be interoperable with other data sources (e.g. electronic health record), and will include protocols for secure and reliable data storage and access, and analytic tools for data analysis.Janus will provide infrastructure, tools, and capabilities to enable new scientific approaches needed to manage the increasingly complex and voluminous information submitted to the FDA in support of regulatory actions.  Janus will also support the conduct of patient centered outcomes research by providing access to untapped sources of patient safety and clinical efficacy data that inform on which treatment may work best, for whom, and under what circumstances.",01/10/2008,31/03/2014,,,13.464,0,0,0.34,2.63,12.937,12.597,23/07/2012,09:41:08,289545
009-000005315,302,9,Department of Health and Human Services,FDA CDER MedWatch Plus,2148,CDER/CBER FAERS,"The Food and Drug Administration (FDA) is responsible for monitoring the safety of FDA regulated products in order to protect and promote public health. Analysis of adverse event and safety report information is critical to achieving this goal. The FDA needs to modernize its aging systems, improve its analytic capabilities, and make it easier for the public to submit adverse event and safety reports to the FDA.  FAERS (FDA Adverse Event Reporting System) is a Web-based Oracle database application and Business Intelligence data warehouse that will replace legacy AERS (Adverse Event Reporting System).  FAERS will contain post-market adverse event reports associated with drugs and biologic products.  These adverse event reports are submitted to FDA by manufacturers, healthcare professionals, and consumers.  FDA will use FAERS for regulatory compliance, and to monitor for adverse events and medication errors that might occur with approved products.  FAERS is an Oracle operational database. Operational databases can store large amounts of data, and allow users to quickly enter, revise, and retrieve information from one system.  When FAERS replaces AERS, FAERS will contain more than six million adverse event reports, and the dataset will continually change as new reports or follow up information is entered into the database.",01/04/2009,30/06/2012,,,45.017,-62,-5.23,-5.452,-30.76,17.726,23.178,28/06/2012,07:59:11,290069
009-000005315,302,9,Department of Health and Human Services,FDA CDER MedWatch Plus,2149,CDRH FAERS,"The CDRH FAERS is to provide CDRH and other stakeholders with a modernized adverse event reporting system. The FDA post market safety surveillance goals are to maintain and continue to build an adverse event reporting system, increase FDA operational efficiency and support international and national public health partnerships. The CDRH FAERS project will replace the Center's current legacy adverse event (AE) system (MAUDE). The purpose of this project is to improve the CDRH post-market product safety surveillance capabilities by providing better individual safety report handling and enhanced signal detection. Adverse Event Reporting is a critical element of the Agency's post-market safety surveillance program for all FDA-regulated products.  CDRH FAERS is one project related to the multi-Center initiative for enhanced AE reporting.  The Center for Drug Evaluation and Research (CDER) and the Center for Biologics Evaluation and Research (CBER) are also developing a solution for AE reporting.  In addition, this project is working with participation by internal stakeholders, customers, Office of Information Management (OIM) partners, Office of Combination Products and subject matter experts (SMEs).",01/10/2010,30/05/2013,,,9.056,59,6.7,-30.897,-524.3,5.893,36.79,23/07/2012,09:41:06,290070
009-000005315,302,9,Department of Health and Human Services,FDA CDER MedWatch Plus,3069,CDER/CBER FAERS: Drug Quality Reporting System (DQRS),"This project will incorporate Drug Quality Reporting System (DQRS) functionality into FAERS and retire the legacy DQRS system.  Since the early 1970s, the FDA has operated the Drug Quality Reporting System (DQRS), which encourages health care professionals to voluntarily report observed or suspected defects or quality problems with marketed drug products.  The Division of Compliance Risk Management and Surveillance evaluates and prioritizes drug quality reports in order to identify and follow-up on significant health hazards through assignment and review of investigative reports.  Drug quality reports are also used to identify industry trends associated with pharmaceutical manufacturing, packaging, and labeling.   These product quality reports are also part of the FDA's post-marketing safety surveillance program and FAERS users should have the ability to analyze these reports in conjunction with adverse event reports.  Having an integrated solution instead of the current separate systems will help reduce the total maintenance costs.",02/07/2012,30/09/2013,,,2.755,0,0,0,0,2.755,2.755,28/06/2012,07:59:11,307741
009-000005317,310,9,Department of Health and Human Services,FDA ORA Mission Accomplishments and Regulatory Compliance Services,2150,FDA ORA MARCS Program Management and Technical Integration (PMTI),"This project provides program level activities to support work across all of MARCS, in particular for non functional testing and implementation. MARCS is divided into a set of components. There are application and service components. The work flows in ORA will often cross multiple organizations and include a number of different user activity types such as screening, field exams, sample collections, sample analysis, and compliance. The application components are designed to provide user groups with a one stop shop interface that will allow them to perform work from their user point of view. Functionality is only implemented once in a component. One user group work flow may use functionality from most of the MARCS components. This has implications for the management of MARCS. While the individual projects build out certain types of functionality, these need to be combined and coordinated into a whole in order to provide a useful work flow that covers the whole life cycle of a regulated product as it passes from one user group to the next. This combination and coordination needs to occur at the program level rather than in individual projects. Providing this glue to produce a holistic and comprehensive system is the goal of PMTI. Because of this approach, most of the EPLC stage gates are handled at the release level rather than at the project level. Each MARCS release is composed of functionality produced by one or more projects that has been logically grouped to support work flows. PMTI includes work for MARCS 0.5, 1.0, 1.1, and 2.0 releases. Work for a release will begin 6 - 12 months before that release is scheduled. PMTI begins work on a release when it is time to start system integration testing. Work for a release includes system integration testing, promotion to the pre-production environment, performance testing, user acceptance testing, promotion to the production environment, security testing, and then release. Program management in this project includes release management and management of dependencies. This also includes system architecture, a road map, inter project coordination, decision analysis (for technology and platform selection), security work, user experience management (user friendly and consistent interface), inter project requirements management, status meetings, reports, risk management, and configuration management. This project is the point at which the prime contractor is responsible for MARCS.",08/09/2010,07/09/2011,07/09/2011,07/09/2011,5.192,0,0,-0.122,-2.35,5.192,5.314,23/02/2012,12:00:18,286120
009-000005317,310,9,Department of Health and Human Services,FDA ORA Mission Accomplishments and Regulatory Compliance Services,2151,FDA ORA MARCS Food Safety Modernization Act (FSMA),This project implemented functionality for Section 304 of FSMA. This is Prior Notice functionality required for 801(m) screening that had a legislative deadline for implementation and involved changes to Operational and Administrative System for Imports Support (OASIS) and Prior Notice System Interface (PNSI).,15/06/2011,30/08/2011,30/08/2011,31/08/2011,0.116,-1,-1.32,-0.002,-1.72,0.116,0.118,23/02/2012,12:00:19,286177
009-000005317,310,9,Department of Health and Human Services,FDA ORA Mission Accomplishments and Regulatory Compliance Services,2152,"FDA ORA MARCS Authorization, Roles, and Responsibilities Management Services (ARRMS) 2","ARRMS provides all of the security for MARCS. This is designed to be a dynamic security approach that gives Field supervisors flexibility and fine grained control in assigning privileges, whether permanently or on a temporary basis. This project is a continuation of ARRMS to implement roles and organizations capability using the Oracle Identity Management suite of COTS products and focuses on roles and organizations. ARRMS focused on gathering requirements and this project is building a portion of those requirements. Due to the geographically dispersed nature of the ORA organization and that regulated products will often travel from one district to another, ORA has some particular security requirements to deal with this that are not offered in any COTS that has been identified. Custom software will be built to provide this specialized functionality.",27/09/2010,31/07/2011,31/07/2011,31/07/2011,1.359,0,0,0.014,1.03,1.359,1.345,23/02/2012,12:00:19,286202
009-000005317,310,9,Department of Health and Human Services,FDA ORA Mission Accomplishments and Regulatory Compliance Services,2153,FDA ORA MARCS Field Work Manager (FWM) 2,"FWM 2 builds on and continues the work from FWM. The FWM component will provide all of the functionality for completing Field work. This is work where an FDA person does actual work dealing directly with a regulated product. FWM 2 includes work on recall audit checks, inspections, investigations, field exams, and sample collections. FWM 2 is focused on completing recall audit check, building inspections and import field exams, and gathering requirements for domestic field exams, sample collections, sample analysis, and other activities. Field operations is one of the six domains that make up the ORA work flows. FWM is the component that will provide the functionality for this domain. This is a large set of functionality that is being built out over a set of projects. Functionality is built out in an incremental fashion where, for example, one project might focus on requirements and design and another project would focus on development and test. This is the case for recall audit check, which was partly built in FWM but will now be finished in FWM 2. Functionality in this component is being built for two separate user platforms. It will be available on the standard FDA laptops. It will also be available on Remote Access Devices (RADs). RADs are handheld devices. This includes an investigation into potential RAD platforms and a recommendation for this. This is the first time a RAD will be directly integrated with the FDA network, so a number of issues need to be resolved. In addition, functionality on laptops and RADs will be available in two modes: online and offline. An offline mode is needed as Field work is often done in remote locations with little or no connectivity. The technology that is being used to implement this is Sybase SQL Anywhere and Afaria. FWM 2 includes work to incorporate this technology and build up the FDA infrastructure to support this.",27/09/2010,26/09/2011,,,3.34,-340,-93.41,-0.125,-3.74,3.34,3.465,23/02/2012,12:00:19,286210
009-000005317,310,9,Department of Health and Human Services,FDA ORA Mission Accomplishments and Regulatory Compliance Services,2154,FDA ORA MARCS Entry Manager (EM),"This project will migrate current functionality that exists in Operational and Administrative System for Import Support (OASIS) for Entry Query to EM.  This will also include enhancements of this functionality.  In addition, this will also include gathering requirements for the field exam and sample collection functionality that exists in OASIS that will be migrated to FWM and WAAM.",27/09/2010,18/11/2011,18/11/2011,18/11/2011,2.248,-287,-68.82,-1.885,-83.85,2.248,4.133,23/02/2012,12:00:19,286212
009-000005317,310,9,Department of Health and Human Services,FDA ORA Mission Accomplishments and Regulatory Compliance Services,2155,FDA ORA MARCS Predictive Risk-based Evaluation and Dynamic Import Compliance Targeting (PREDICT),"This project is focused on improving current Extract, Transform, and Load (ETL) methods, on integrating PREDICT with the use of Dunn and Bradstreet (DnB) data for verifying firm information, and starting on Rules Studio.",29/09/2010,28/09/2011,28/09/2011,28/09/2011,0.677,0,0,-0.024,-3.55,0.677,0.701,23/02/2012,12:00:20,286215
009-000005317,310,9,Department of Health and Human Services,FDA ORA Mission Accomplishments and Regulatory Compliance Services,2156,FDA ORA MARCS Document Generator Services (DGS),"This project is building a service to support the creation and management of templates across all of ORA. Because of the geographically dispersed nature of ORA, different regional locations have different processes and also often have different templates and forms. Much of this has never been included in the past as part of an electronic system. DGS will provide a means for this documentation to be standardized across all of ORA via MARCS. This dovetails with the Automated Laboratory Management (ALM) Quality Management Information System (QMiS). DGS will integrate wtih QMiS to support improving quality across ORA as an organization.",27/09/2010,26/09/2011,26/09/2011,09/11/2011,1.294,-44,-12.09,0.004,0.31,1.294,1.29,23/02/2012,12:01:01,286216
009-000005317,310,9,Department of Health and Human Services,FDA ORA Mission Accomplishments and Regulatory Compliance Services,2157,FDA ORA MARCS Work Assignment and Accomplishment Manager (WAAM) 2,"WAAM 2 builds on and continues the work from WAAM. WAAM will provide all of the work management functionality for MARCS. This includes the ability to assign and track work, record time, and to automatically route work. The work in this project will support development that is occurring in FWM 2 and EM. WAAM 2 will provide functionality to support the work flows that are being built in these two projects. WAAM 2 also includes requirements gathering to dovetail with the requirements gathering in FWM 2 and EM 2. The functionality provided by WAAM will be used by all of the ORA work flows in MARCS. This also includes Work Planner, which will be used to produce the national work plan for ORA.",27/09/2010,26/09/2011,26/09/2011,26/09/2011,2.742,0,0,-0.027,-0.98,2.742,2.769,23/02/2012,12:00:20,286217
009-000005317,310,9,Department of Health and Human Services,FDA ORA Mission Accomplishments and Regulatory Compliance Services,2158,FDA ORA MARCS Program Management and Technical Integration (PMTI) 2,"This project will provide program level activities to support work across all of MARCS. The combination and coordination of work needs to occur at the MARCS program level rather than in individual projects. Providing this glue to produce a holistic and comprehensive system is the goal of PMTI 2. Because of this approach, most of the EPLC stage gates are handled at the release level rather than at the project level. Each MARCS release is composed of functionality produced by one or more projects that has been logically grouped to support work flows. This includes work for MARCS 0.5, 1.0, 1.1, 2.0, 2.1, and 2.2 releases. Work for a release will begin 6 - 12 months before that release is scheduled. PMTI 2 will begin work on a release when it is time to being system integration testing. Work for a release includes system integration testing, promotion to the pre-production environment, performance testing, user acceptance testing, promotion to the production environment, security testing, and then release. Project and program management in this project includes release management and management of individual projects. This also includes system architecture, a road map, inter project coordination, decision analysis (for technology and platform selection), security work, user experience management (MARCS user friendly and consistent interface), inter project requirements management, status meetings, reports, risk management, and configuration management. This project is the point at which the prime contractor is responsible for MARCS. MARCS 0.5 includes Data Sharing Services (DSS) and Center Views (CV). MARCS 1.0 includes functionality for Recall Audit Checks by FDA and State personnel. MARCS 1.1 includes enhancements to Predictive Risk-based Evaluation and Dynamic Import Compliance Targeting (PREDICT) to support import screening. MARCS 2.0 includes ARRMS, Import Trade Auxiliary Communications System (ITACS), and enhancements to some of the MARCS services. MARCS 2.1 includes DGS, Product Services (PS), Date Lookup and Code Management Services (DLCMS), User Workspace Enhancement Services (UWES), and Firm Management Services (FMS). MARCS 2.2 includes functionality for inspections and investigations.",08/09/2011,07/09/2012,,,4.917,0,0,-1.186,-24.12,4.917,6.103,23/02/2012,12:00:21,286227
009-000005317,310,9,Department of Health and Human Services,FDA ORA Mission Accomplishments and Regulatory Compliance Services,2159,FDA ORA MARCS Data Integration (DI),"This project will provide program wide data integration. The MARCS data structure is being re-factored and redesigned to provide a unified data set. As each project progresses in its work, this project is charged with ensuring that a unified MARCS data set that will be contained within one MARCS database is produced. As MARCS is being built out as a set of components within individual projects, a program level view is needed to address the production of a consistent and unified data set that will cover all of the work flows for MARCS. This directly supports the ability of MARCS to integrate the ORA work flows and also integrate with other areas of FDA and external partners. This data integration impacts and supports all of the MARCS projects.",08/09/2011,07/09/2012,,,1.259,0,0,0.219,17.41,1.258,1.039,23/02/2012,12:00:21,286235
009-000005317,310,9,Department of Health and Human Services,FDA ORA Mission Accomplishments and Regulatory Compliance Services,2160,"FDA ORA MARCS Authorization, Roles, and Responsibilities Management Services (ARRMS) 2-Supplemental","ARRMS provides all of the security for MARCS. This is designed to be a dynamic security approach that gives Field supervisors flexibility and fine grained control in assigning privileges, whether permanently or on a temporary basis. This project is a continuation of ARRMS 2 to implement roles and organizations capability using the Oracle Identity Management (IDM) suite of COTS products and focuses on roles and organizations. Due to the geographically dispersed nature of the ORA organization and that regulated products will often travel from one district to another, ORA has some particular security requirements to deal with this that are not offered in any COTS that has been identified. Custom software will be built to provide this specialized functionality.",26/08/2011,27/02/2012,27/02/2012,27/02/2012,0.688,-186,-100.54,0.073,10.61,0.688,0.615,23/02/2012,12:00:21,286255
009-000005317,310,9,Department of Health and Human Services,FDA ORA Mission Accomplishments and Regulatory Compliance Services,2161,FDA ORA MARCS Firm Management Services (FMS),"FMS will provide a single, fully encapsulating service for accessing firm information in MARCS. Firm information is used in virtually every work flow in MARCS. This will take multiple legacy implementations of this functionality, enhance, and improve them, and provide a standardized interface for all of MARCS. FMS will provide functionality to add, edit, merge, unmerge, and delete Firm Establishment Identifiers (FEIs). Each physical location of a regulated organization is a separate FEI. In addition, different types of products that are in one physical location will often require different FEIs. It is not uncommon for a large conglomerate to have multiple FEIs. Managing this information is a perpetual challenge as this information is always changing as firms continually change. In addition, information received, especially from foreign firms, is often not correct or complete and needs to be massaged to identify FEIs. FMS interfaces directly with the Regulatory Business Information Services (RBIS) Firm Master List Services (FMLS) to support FEI data quality. Producing FMS as a fully encapsulating service will give MARCS users a one stop shop for dealing with firm information.",23/09/2011,05/02/2013,,,1.115,0,0,0.001,0.1,1.024,1.023,23/02/2012,12:00:21,286276
009-000005317,310,9,Department of Health and Human Services,FDA ORA Mission Accomplishments and Regulatory Compliance Services,2162,FDA ORA MARCS Field Work Manager (FWM) 3,"FWM 3 builds on and continues the work from FWM 2. The FWM component will provide all of the functionality for completing Field work. This is work where an FDA person does actual work dealing directly with a regulated product. FWM 3 includes work on inspections, investigations, field exams, sample collections, portions of sample analysis, third party certification and auditing (TPCA), and compliance follow up. FWM 3 will focus on completing inspections, building investigations, field exams, and sample collections, gathering requirements for sample analysis, TPCA, and compliance follow up. Field operations is one of the six domains that make up the ORA work flows. FWM is the component that will provide the functionality for this domain. This is a large set of functionality that is being built out over a set of projects. Functionality is built out in an incremental fashion where, for example, one project might focus on requirements and design and another project would focus on development and test. This is the case for inspections, which was mostly built in FWM 2 but will now be finished in FWM 3. Functionality in this component is being built for two separate user platforms. It will be available on the standard FDA laptops. It will also be available on Remote Access Devices (RADs). RADs are handheld devices. A pilot will be conducted using Apple and Android products to prove out the expected ROI and determine a final RAD platform. This is the first time a RAD will be directly integrated with the FDA network, so a number of issues need to be resolved. In addition, functionality on laptops and RADs will be available in two modes: online and offline. An offline mode is needed as Field work is often done in remote locations with little or no connectivity. The technology that is being used to implement this is Sybase SQL Anywhere and Afaria. FWM 3 includes work to incorporate this technology and build up the FDA infrastructure to support this.",23/09/2011,22/09/2012,,,6.837,0,0,0.01,0.15,6.837,6.827,23/02/2012,12:00:21,286277
009-000005317,310,9,Department of Health and Human Services,FDA ORA Mission Accomplishments and Regulatory Compliance Services,2163,FDA ORA MARCS Imports 2,"Imports 2 will contain work for Entry Manager (EM), Import Trade Auxiliary Communications System (ITACS), Predictive Rick-based Evaluation and Dynamic Import Compliance Targeting (PREDICT), Prior Notice Manager (PNM), and Customs System Interface (CSI). For EM, this will focus on migrating functionality from the legacy systems Operational and Administrate System for Import Support (OASIS) and Entry Review to support 801(a) screening. For ITACS, this will focus on account management (via Authorization, Roles, and Responsibilities Management Services (ARRMS)) and additional functionality enabled by logins. For PREDICT, this will focus on building functionality to better manage rules. For PNM and CSI, this will focus on requirements. EM will provide functionality for screening, in conjunction with PREDICT, for the majority of the 20,000,000+ products imported via the 801(a) process annually. This will give import screeners and import compliance officers a unified interface for dealing with all of their work flows, including tracking Field Work (accomplished in Field Work Manager (FWM)). PREDICT is an expert system built around a rules engine that produces a risk-based score of imported products. Products with a low score are automatically sent forward by PREDICT. Products with a higher score require an import screener to review the product by using EM. ITACS is used to interface with import filers and industry to provide a conduit for supporting documentation. This will reduce the current use of phone calls and emails, provide FDA with a more reliable information source and record, and give industry a more efficient way of communicating. Use of this component by industry is voluntary, so it must provide an incentive for external partners. PNM will provide the interface for work flows associated with 801(m) import screening, Prior Notice, which is focused on Food Security and Food Safety. This will replace functionality currently in OASIS. CSI will replace the outdated technology currently used for the interface between FDA and Customs and Border Protection (CBP). Work on CSI is dependent upon and must be done in conjunction with CBP so as to accommodate CBP modifications and enhancements.",23/09/2011,22/09/2012,,,4.376,0,0,-0.629,-14.37,4.376,5.005,23/02/2012,12:00:21,286294
009-000005317,310,9,Department of Health and Human Services,FDA ORA Mission Accomplishments and Regulatory Compliance Services,2164,FDA ORA MARCS Support Services (SS),"MARCS contains a number of aggregate services that are being built to provide functionality across all of MARCS and potentially outside of MARCS. Support Services (SS) includes work for Data Sharing Services (DSS), Standardized Evidence and Reference Services (SERS), Notification Services (NS), Data Look up and Code Management Services (DLCMS), Product Services (PS), and User Workspace Enhancement Services (UWES). Work for DSS, SERS, and NS focuses on final changes to fully conform to the new MARCS architecture. DSS currently provides for materialized views of Center databases in order to give MARCS users 24x7 access to this Center data. This may be expanded in the future for data sharing needs within FDA and with external partners. SERS provides a programmatic and user interface for the storage and retrieval of documents (including photographs, scanned items, and other evidence) to support the regulatory and legal requirements of ORA. NS provides automated communication via email and fax for use within FDA and with external partners. DLCMS, PS, and UWES will be built under SS. DLCMS will provide functionality for non technical government FTEs to manage reference data used to identify products and activities. Currently, this can only be changed by engaging technical personnel to adjust information in tables. PS will combine the best of breed of six separate legacy implementations for managing, searching, and updating regulatory product information. This information originates in the Centers, but is used by ORA in many of its work flows, so ORA needs a service to support the management and aggregation of this product information. UWES will use the COTS Oracle WebCenter product to provide a unified and consistent portal-like user experience across all of MARCS. The user view will be customized according to role.  In addition, individual users will be able to customize their view of application components to present information in the manner that is most useful to that user.",24/08/2011,23/08/2012,,,3.585,-8,-2.19,0.074,2.07,3.575,3.501,23/02/2012,12:00:22,286295
